AUSTRALIAN BUREAU OF STATISTICS 2021 Census of Population and Housing,,,,List of tables
Sunshine (Vic.) (SAL22395) 4.7 sq Kms,,,,Find out more:
,,,,Age
G02 SELECTED MEDIANS AND AVERAGES,,,,Total personal income (weekly)
,,,,Total family income (weekly)
,,,,Total household income (weekly)
,,,,Mortgage repayments (monthly)
,,,,Rent (weekly)
,,,,Number of bedrooms in private dwelling
,,,,Number of persons usually resident in dwelling
,,,,
,,,,
Median age of persons,35,,Median mortgage repayment ($/monthly),1842
,,,,
Median total personal income ($/weekly),706,,Median rent ($/weekly)(a),340
,,,,
Median total family income ($/weekly),1806,,Average number of persons per bedroom,0.9
,,,,
Median total household income ($/weekly),1566,,Average household size,2.6
,,,,
,,,,
Median age of persons excludes overseas visitors.,,,,
,,,,
Median total personal income is applicable to persons aged 15 years and over.,,,,
,,,,
Median total family income is applicable to families in family households. It excludes families where at least one member aged 15 years and over did not state an income and families where at ,,,,
least one member aged 15 years and over was temporarily absent on Census Night. ,,,,
,,,,
Median total household income is applicable to occupied private dwellings. It excludes households where at least one member aged 15 years and over did not state an income and ,,,,
households where at least one member aged 15 years and over was temporarily absent on Census Night. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
,,,,
Median mortgage repayment is applicable to occupied private dwellings being purchased and includes dwellings being purchased under a shared equity scheme. It excludes 'Visitors only' ,,,,
and 'Other non-classifiable' households. ,,,,
,,,,
Median rent is applicable to occupied private dwellings being rented. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
"(a) For 2021, median rent calculations exclude dwellings being 'Occupied rent-free' and will not be comparable to 2016 Census data.",,,,
,,,,
Average number of persons per bedroom is applicable to occupied private dwellings. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
,,,,
"Average household size is applicable to number of persons usually resident in occupied private dwellings. It includes partners, children, and co-tenants (in group households) who were",,,,
temporarily absent on Census Night. A maximum of three temporary absentees can be counted in each household. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
