AUSTRALIAN BUREAU OF STATISTICS 2021 Census of Population and Housing,Unnamed: 1,Unnamed: 2,Unnamed: 3,List of tables
Bundoora (Vic.) (SAL20399) 17.2 sq Kms,,,,
,,,,
G02 SELECTED MEDIANS AND AVERAGES,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Median age of persons,38.0,,Median mortgage repayment ($/monthly),2000.0
,,,,
Median total personal income ($/weekly),690.0,,Median rent ($/weekly)(a),381.0
,,,,
Median total family income ($/weekly),1991.0,,Average number of persons per bedroom,0.8
,,,,
Median total household income ($/weekly),1668.0,,Average household size,2.6
,,,,
,,,,
Median age of persons excludes overseas visitors.,,,,
,,,,
Median total personal income is applicable to persons aged 15 years and over.,,,,
,,,,
Median total family income is applicable to families in family households. It excludes families where at least one member aged 15 years and over did not state an income and families where at ,,,,
least one member aged 15 years and over was temporarily absent on Census Night. ,,,,
,,,,
Median total household income is applicable to occupied private dwellings. It excludes households where at least one member aged 15 years and over did not state an income and ,,,,
households where at least one member aged 15 years and over was temporarily absent on Census Night. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
,,,,
Median mortgage repayment is applicable to occupied private dwellings being purchased and includes dwellings being purchased under a shared equity scheme. It excludes 'Visitors only' ,,,,
and 'Other non-classifiable' households. ,,,,
,,,,
Median rent is applicable to occupied private dwellings being rented. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
"(a) For 2021, median rent calculations exclude dwellings being 'Occupied rent-free' and will not be comparable to 2016 Census data.",,,,
,,,,
Average number of persons per bedroom is applicable to occupied private dwellings. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
,,,,
"Average household size is applicable to number of persons usually resident in occupied private dwellings. It includes partners, children, and co-tenants (in group households) who were",,,,
temporarily absent on Census Night. A maximum of three temporary absentees can be counted in each household. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,,
